A,code,name,price,RF,涨跌额,volumn,成交额,振幅,最高,最低,今开,昨收,量比,,turnover,PE,市净率,B,C,D,E,F,G,H,I
1,603989,艾华集团,23.22,0.72,3.20,23716,55113575,4.36,23.58,22.60,22.77,22.50,-0.09,3.27,0.61,34.58,5.25,9055799732,9055799732,-28.71%,-39.23%,0.04,2015-05-15,2018-09-07 15:00:00,23716
2,300492,山鼎设计,22.99,0.71,3.19,20901,47596741,5.83,23.30,22.00,22.80,22.28,0.04,1.55,8.59,116.94,6.22,1912767981,559524867,-7%,-44.44%,0.09,2015-12-23,2018-09-07 15:00:00,20901
1,600123,兰花科创,7.11,0.22,3.19,159580,113569121,4.06,7.23,6.95,6.96,6.89,0.00,2.11,1.40,6.46,0.83,8122464153,8122464153,-4.18%,-25.47%,0.14,1998-12-17,2018-09-07 15:00:00,159580
2,000661,长春高新,235.20,7.27,3.19,20612,482776848,5.07,238.59,227.04,227.80,227.93,0.02,1.06,1.21,36.51,8.27,40010404209,39972956606,12.06%,31.02%,0.00,1996-12-18,2018-09-07 15:00:00,20612
1,600276,恒瑞医药,65.62,2.02,3.18,199101,1302079664,3.52,66.29,64.05,64.05,63.60,-0.05,1.15,0.54,63.26,14.15,241641883618,240297034668,-13.6%,-4.44%,0.00,2000-10-18,2018-09-07 15:00:00,199101
2,002501,利源精制,3.90,0.12,3.17,245424,95014073,4.23,3.92,3.76,3.76,3.78,0.52,1.25,2.45,-,0.60,4737858878,3905084635,-40.46%,-63.14%,0.26,2010-11-17,2018-09-07 15:00:00,245424
2,000796,凯撒旅游,8.46,0.26,3.17,32989,27730677,4.15,8.55,8.21,8.24,8.20,0.12,1.49,1.34,44.32,3.24,6793382213,2081125027,-35.96%,-40%,0.24,1997-07-03,2018-09-07 15:00:00,32989
2,000797,中国武夷,4.88,0.15,3.17,58559,28863280,6.34,5.08,4.78,4.79,4.73,0.21,3.59,0.45,40.17,1.35,6391642009,6341301392,-38.85%,-56.23%,0.00,1997-07-15,2018-09-07 15:00:00,58559
2,000628,高新发展,9.12,0.28,3.17,44777,40516165,3.96,9.19,8.84,8.84,8.84,0.11,2.20,2.38,104.00,3.69,2840697564,1714380679,3.05%,8.57%,0.00,1996-11-18,2018-09-07 15:00:00,44777
2,000035,中国天楹,4.24,0.13,3.16,63878,26886476,2.68,4.27,4.16,4.17,4.11,0.24,1.52,0.50,32.84,1.84,5730450524,5431819204,-34.26%,-29.92%,0.00,1994-04-08,2018-09-07 15:00:00,63878
1,600419,天润乳业,14.45,0.44,3.14,18226,26080272,3.21,14.46,14.01,14.08,14.01,0.56,1.04,0.88,21.48,3.41,2992803301,2992803301,-33.13%,-68.82%,-0.07,2001-06-28,2018-09-07 15:00:00,18226
2,300083,劲胜智能,3.94,0.12,3.14,157471,61813897,6.54,4.04,3.79,3.82,3.82,0.25,2.21,1.32,108.32,1.00,5640841220,4684179955,-19.92%,-48.76%,0.25,2010-05-20,2018-09-07 15:00:00,157471
2,000010,美丽生态,4.96,0.15,3.12,58784,28643976,3.95,4.96,4.77,4.81,4.81,0.40,0.75,1.13,-,3.79,4066479408,2589969886,25.57%,-9.49%,0.20,1995-10-27,2018-09-07 15:00:00,58784
2,000502,绿景控股,6.62,0.20,3.12,29378,19542291,5.76,6.78,6.41,6.42,6.42,0.15,2.96,1.60,-,11.68,1223505777,1213769412,-26.77%,-39.32%,0.00,1992-11-23,2018-09-07 15:00:00,29378
