A,code,name,price,RF,涨跌额,volumn,成交额,振幅,最高,最低,今开,昨收,量比,,turnover,PE,市净率,B,C,D,E,F,G,H,I
2,300399,京天利,10.78,-0.28,-2.53,47545,51901118,4.88,11.17,10.63,11.00,11.06,0.37,0.74,3.55,-,5.47,2130127947,1445115699,-0.28%,-46.58%,0.37,2014-10-09,2018-09-07 15:00:00,47545
1,600711,盛屯矿业,6.90,-0.18,-2.54,508528,353369472,6.50,7.19,6.73,7.08,7.08,-0.14,1.74,3.40,16.73,1.70,12632121541,10329661040,-32.22%,-21.05%,0.00,1996-05-31,2018-09-07 15:00:00,508528
2,002578,闽发铝业,3.43,-0.09,-2.56,52730,18300741,2.84,3.52,3.42,3.50,3.52,-0.29,1.28,0.94,151.93,2.29,3389160071,1932558078,-10.44%,-26.24%,-0.29,2011-04-28,2018-09-07 15:00:00,52730
2,300629,新劲刚,19.43,-0.51,-2.56,11382,22431742,6.67,20.48,19.15,19.72,19.94,0.05,0.86,2.63,126.70,5.54,1943001002,840669429,-20.73%,-58.24%,0.00,2017-03-24,2018-09-07 15:00:00,11382
2,002541,鸿路钢构,7.21,-0.19,-2.57,97771,71318136,5.00,7.51,7.14,7.45,7.40,0.14,1.69,2.63,11.67,0.91,3776012950,2676634415,-18.62%,-47.83%,0.00,2011-01-18,2018-09-07 15:00:00,97771
2,002661,克明面业,12.07,-0.32,-2.58,24044,29486931,3.63,12.50,12.05,12.39,12.39,-0.17,0.87,0.73,17.51,1.83,4026027131,3950323381,-8%,-15.48%,0.00,2012-03-16,2018-09-07 15:00:00,24044
2,002129,中环股份,7.40,-0.20,-2.63,454658,341016976,5.39,7.73,7.32,7.60,7.60,0.27,1.47,1.72,34.35,1.68,20610158166,19567350086,-6.21%,-36.64%,0.14,2007-04-20,2018-09-07 15:00:00,454658
2,300671,富满电子,25.21,-0.68,-2.63,16860,43185700,5.48,26.43,25.01,26.04,25.89,0.24,0.99,2.14,46.60,6.64,3577046770,1981952725,-11.79%,-37.58%,-0.04,2017-07-05,2018-09-07 15:00:00,16860
2,002091,江苏国泰,5.83,-0.16,-2.67,231276,136127880,4.67,6.02,5.74,5.91,5.99,-0.51,1.25,2.38,10.59,1.27,9157612563,5668104837,-14.77%,-35.37%,-0.34,2006-12-08,2018-09-07 15:00:00,231276
2,300719,安达维尔,13.48,-0.37,-2.67,59469,81028444,7.51,14.09,13.05,13.85,13.85,-0.07,0.69,9.44,-,3.84,3415562284,849239971,-14.63%,-48.65%,0.07,2017-11-09,2018-09-07 15:00:00,59469
2,002752,昇兴股份,6.54,-0.18,-2.68,12461,8253808,4.46,6.78,6.48,6.74,6.72,-0.46,0.90,0.73,77.30,3.05,5449000562,1113366422,-17.42%,-39.83%,-0.30,2015-04-22,2018-09-07 15:00:00,12461
2,000920,南方汇通,6.14,-0.17,-2.69,72643,46291608,6.02,6.50,6.12,6.46,6.31,-0.49,4.28,1.72,32.96,3.16,2591079944,2590421932,-7.81%,-37.09%,-0.49,1999-06-16,2018-09-07 15:00:00,72643
2,300310,宜通世纪,5.05,-0.14,-2.70,299571,154183317,6.36,5.33,5.00,5.29,5.19,-0.39,0.76,4.77,-,1.49,4514592535,3173252379,-31.01%,-56.35%,-0.39,2012-04-25,2018-09-07 15:00:00,299571
1,603718,海利生物,7.54,-0.21,-2.71,74163,56450868,6.97,7.94,7.40,7.76,7.75,-0.13,1.15,1.15,75.75,4.55,4855759975,4855759975,-46.07%,-31.58%,-0.13,2015-05-15,2018-09-07 15:00:00,74163
2,300706,阿石创,31.84,-0.89,-2.72,27906,90367320,5.65,33.36,31.51,32.93,32.73,-0.03,0.81,7.91,117.02,10.63,4493260822,1123315205,-27.41%,-65%,-0.03,2017-09-26,2018-09-07 15:00:00,27906
1,603089,正裕工业,17.14,-0.48,-2.72,7806,13555276,4.60,17.84,17.03,17.84,17.62,-0.17,0.75,2.48,43.30,2.61,1828323735,539136624,-30.1%,-28.46%,0.06,2017-01-26,2018-09-07 15:00:00,7806
2,300653,正海生物,53.39,-1.50,-2.73,9528,52101964,5.68,56.45,53.33,54.73,54.89,-0.06,0.72,2.20,53.42,8.84,4271199951,2310719174,-25.07%,52.37%,-0.02,2017-05-16,2018-09-07 15:00:00,9528
1,600363,联创光电,8.90,-0.25,-2.73,73413,66136424,4.26,9.23,8.84,9.01,9.15,0.00,1.07,1.66,17.26,1.71,3946942906,3946942924,-9.18%,-29.42%,-0.34,2001-03-29,2018-09-07 15:00:00,73413
1,603516,淳中科技,25.45,-0.72,-2.75,25300,65302936,5.46,26.50,25.07,26.18,26.17,0.16,1.25,7.73,37.51,4.66,3333069021,833268146,-28.91%,-10.01%,-0.20,2018-02-02,2018-09-07 15:00:00,25300
2,002653,海思科,13.76,-0.39,-2.76,34571,48157326,4.73,14.27,13.60,14.15,14.15,-0.22,0.98,0.76,51.13,8.11,14864515447,6253983510,8.18%,19.86%,-0.07,2012-01-17,2018-09-07 15:00:00,34571
1,603912,佳力图,14.41,-0.41,-2.77,44145,64583924,4.12,14.92,14.31,14.68,14.82,-0.76,0.94,8.52,30.00,4.75,3032152168,746437992,-13.25%,-50.1%,-0.07,2017-11-01,2018-09-07 15:00:00,44145
2,300447,全信股份,11.52,-0.33,-2.78,42704,49765739,4.14,11.89,11.40,11.80,11.85,-0.09,0.65,2.67,30.30,2.34,3603055397,1845654467,-10.35%,-40%,-0.26,2015-04-22,2018-09-07 15:00:00,42704
1,603129,春风动力,17.47,-0.50,-2.78,27851,48873280,4.40,17.95,17.16,17.76,17.97,0.23,1.14,4.27,16.31,2.57,2351399016,1138646583,-21.27%,-34.45%,0.17,2017-08-18,2018-09-07 15:00:00,27851
2,300673,佩蒂股份,49.77,-1.43,-2.79,10751,54615013,6.05,52.56,49.46,50.88,51.20,-0.32,1.06,3.06,43.81,6.78,5972400055,1746031156,15.26%,10.55%,-0.06,2017-07-11,2018-09-07 15:00:00,10751
2,002289,宇顺电子,6.63,-0.19,-2.79,113097,75924348,6.89,6.97,6.50,6.90,6.82,0.45,2.73,4.36,-,4.25,1858082282,1719392790,-20.69%,-48.4%,-0.15,2009-09-03,2018-09-07 15:00:00,113097
2,002065,东华软件,9.04,-0.26,-2.80,490576,450161952,6.99,9.54,8.89,9.37,9.30,0.33,1.06,1.76,42.20,3.16,28163960551,25175205746,2.03%,7.49%,0.44,2006-08-23,2018-09-07 15:00:00,490576
2,002231,奥维通信,6.23,-0.18,-2.81,59105,37202303,5.93,6.49,6.11,6.38,6.41,0.16,1.04,1.93,1098.94,3.25,2222864007,1905627422,5.24%,-43.67%,-0.16,2008-05-12,2018-09-07 15:00:00,59105
2,000561,烽火电子,6.21,-0.18,-2.82,56000,35290530,4.07,6.44,6.18,6.39,6.39,0.16,1.05,0.94,94.61,2.89,3755626697,3688689548,0%,-27.96%,0.16,1994-05-09,2018-09-07 15:00:00,56000
1,600562,国睿科技,16.35,-0.48,-2.85,69994,116373719,4.34,16.95,16.22,16.70,16.83,0.06,1.22,1.16,214.58,5.78,10175434493,9834918676,-20.67%,-32.3%,0.06,2003-01-28,2018-09-07 15:00:00,69994
1,600455,博通股份,22.51,-0.66,-2.85,4711,10729380,4.83,23.35,22.23,23.15,23.17,-0.09,1.17,0.75,-,11.00,1405929594,1405929594,-9.31%,-37.05%,0.00,2004-03-29,2018-09-07 15:00:00,4711
2,002913,奥士康,41.58,-1.22,-2.85,48060,203626017,4.09,43.30,41.55,42.69,42.80,-0.05,1.20,13.35,29.00,2.96,5989682424,1497420606,-13.73%,-14.88%,0.00,2017-12-01,2018-09-07 15:00:00,48060
1,600498,烽火通信,28.34,-0.83,-2.85,190898,550990816,5.97,29.75,28.01,29.17,29.17,0.14,0.96,1.85,33.79,3.42,31569030693,29251881601,12.33%,-2.68%,0.00,2001-08-23,2018-09-07 15:00:00,190898
2,300097,智云股份,12.23,-0.36,-2.86,75315,93530376,5.40,12.79,12.11,12.63,12.59,-0.49,0.85,4.30,21.13,1.72,3528962320,2139622056,-30.9%,-57.62%,-0.49,2010-07-28,2018-09-07 15:00:00,75315
2,300722,新余国科,34.92,-1.04,-2.89,14867,52753136,4.23,36.27,34.75,35.80,35.96,-0.20,1.01,7.43,60.58,6.93,2793599854,698399963,-5.85%,-0.23%,0.00,2017-11-10,2018-09-07 15:00:00,14867
2,300123,亚光科技,10.36,-0.31,-2.91,21768,22912992,4.40,10.79,10.32,10.75,10.67,0.00,1.03,0.79,55.50,1.25,5799474993,2865376164,-15.77%,-14.17%,0.00,2010-09-28,2018-09-07 15:00:00,21768
2,002156,通富微电,9.61,-0.29,-2.93,119453,116049787,4.85,10.04,9.56,9.92,9.90,0.10,1.94,1.23,54.78,1.83,11087100541,9345050582,-13.97%,-28.39%,0.10,2007-08-16,2018-09-07 15:00:00,119453
2,002100,天康生物,5.30,-0.16,-2.93,46392,24863956,2.56,5.44,5.30,5.38,5.46,-0.56,1.08,0.48,23.62,1.79,5106010490,5106010517,-18.34%,-35.37%,0.00,2006-12-26,2018-09-07 15:00:00,46392
1,600540,新赛股份,4.30,-0.13,-2.93,167386,72864506,4.74,4.45,4.24,4.40,4.43,0.00,0.71,3.55,141.50,3.20,2024970336,2024970331,2.87%,-12.96%,0.00,2004-01-07,2018-09-07 15:00:00,167386
1,600486,扬农化工,48.72,-1.48,-2.95,25271,124612445,4.96,50.79,48.30,50.00,50.20,-0.25,1.42,0.82,13.42,3.51,15098275127,15098275371,-15.78%,-9.02%,-0.20,2002-04-25,2018-09-07 15:00:00,25271
2,300010,立思辰,7.87,-0.24,-2.96,155980,124132584,5.80,8.23,7.76,8.22,8.11,0.38,1.34,2.47,-,1.27,6870987585,4967663804,-37.54%,-21.69%,0.25,2009-10-30,2018-09-07 15:00:00,155980
2,002409,雅克科技,17.00,-0.52,-2.97,30932,53286655,4.85,17.67,16.82,17.50,17.52,-0.06,1.17,1.69,70.91,1.89,7868509551,3113464082,-25.99%,-41.54%,-0.06,2010-05-25,2018-09-07 15:00:00,30932
2,002213,特尔佳,9.75,-0.30,-2.99,36924,36540916,5.17,10.20,9.68,9.95,10.05,-0.41,1.23,1.88,455.76,5.45,2008500000,1919874440,-25.86%,-42.38%,-0.31,2008-02-01,2018-09-07 15:00:00,36924
2,300335,迪森股份,7.42,-0.23,-3.01,108325,81219291,5.36,7.66,7.25,7.53,7.65,0.13,1.56,4.10,14.83,2.08,2692841534,1960643992,-39.08%,-58.45%,0.13,2012-07-10,2018-09-07 15:00:00,108325
2,300666,江丰电子,46.06,-1.43,-3.01,41297,192447923,6.51,48.10,45.01,47.00,47.49,-0.09,0.98,4.63,204.85,17.41,10076085900,4105948212,-20.99%,-33.45%,-0.02,2017-06-15,2018-09-07 15:00:00,41297
1,603383,顶点软件,28.98,-0.90,-3.01,22599,66487637,5.49,30.30,28.66,29.91,29.88,0.28,1.60,3.90,48.01,3.73,3483795869,1681336111,-8.98%,-35.6%,0.10,2017-05-22,2018-09-07 15:00:00,22599
2,300408,三环集团,21.20,-0.66,-3.02,184080,400995760,6.36,22.50,21.11,22.08,21.86,0.19,1.22,1.12,33.44,6.01,36912038355,34709083566,-10.59%,7.18%,0.00,2014-12-03,2018-09-07 15:00:00,184080
2,300556,丝路视觉,19.47,-0.61,-3.04,43101,85553884,6.87,20.38,19.00,20.15,20.08,-0.82,0.81,6.92,33.30,5.07,2236168361,1212989154,-14.34%,-9.57%,0.05,2016-11-04,2018-09-07 15:00:00,43101
2,000707,*ST双环,2.87,-0.09,-3.04,210490,61128089,5.07,2.97,2.82,2.93,2.96,0.00,1.25,4.54,1.95,3.36,1332098292,1332094008,11.24%,-49.65%,0.00,1997-04-15,2018-09-07 15:00:00,210490
1,600345,长江通信,22.98,-0.72,-3.04,52681,123072685,5.91,24.11,22.71,23.82,23.70,-0.09,0.84,2.66,15.82,2.81,4550039909,4550039909,-23.09%,-17.37%,0.00,2000-12-22,2018-09-07 15:00:00,52681
2,002228,合兴包装,6.67,-0.21,-3.05,237108,158871936,5.96,6.92,6.51,6.80,6.88,0.00,0.65,2.28,9.52,2.98,7800678132,6929450593,36.12%,54.76%,0.00,2008-05-08,2018-09-07 15:00:00,237108
2,300613,富瀚微,114.28,-3.60,-3.05,3693,42952398,4.35,119.29,114.16,118.20,117.88,0.09,1.32,2.85,67.33,5.21,5178700997,1479297444,-17.37%,-45.56%,-0.17,2017-02-20,2018-09-07 15:00:00,3693
1,600476,湘邮科技,15.21,-0.48,-3.06,39749,61146856,7.90,15.94,14.70,15.68,15.69,0.13,1.38,2.47,3424.83,12.22,2449874706,2449874706,-15.59%,-5.65%,0.00,2003-12-10,2018-09-07 15:00:00,39749
2,300184,力源信息,8.87,-0.28,-3.06,47271,42786701,4.59,9.27,8.85,9.15,9.15,0.00,1.88,1.53,13.56,1.33,5847577618,2747693358,-17.1%,-23.86%,-0.11,2011-02-22,2018-09-07 15:00:00,47271
2,300678,中科信息,22.40,-0.71,-3.07,81206,184533130,5.41,23.25,22.00,22.99,23.11,0.27,1.56,9.75,160.54,7.57,4031999931,1866362368,-56.87%,-61.64%,0.04,2017-07-28,2018-09-07 15:00:00,81206
2,300504,天邑股份,29.08,-0.92,-3.07,78065,231951715,6.13,30.60,28.76,30.28,30.00,-0.10,0.93,11.68,45.79,4.72,7776224620,1944056155,-30.35%,54.6%,-0.03,2018-03-30,2018-09-07 15:00:00,78065
2,300711,广哈通信,20.18,-0.64,-3.07,53653,109979077,5.04,20.96,19.91,20.48,20.82,-0.10,0.64,14.86,66.75,5.14,2909874396,728498011,-14.67%,-27.28%,-0.10,2017-11-01,2018-09-07 15:00:00,53653
2,002405,四维图新,19.60,-0.62,-3.07,474192,951821264,8.46,20.76,19.05,20.15,20.22,-0.15,1.43,4.58,78.61,3.65,25665631747,20275707102,-8.45%,-25.93%,-0.05,2010-05-18,2018-09-07 15:00:00,474192
1,600156,华升股份,4.07,-0.13,-3.10,60738,24958827,5.95,4.23,3.98,4.17,4.20,-0.25,1.33,1.51,-,2.68,1636590626,1636590634,-1.21%,-24.21%,-0.49,1998-05-27,2018-09-07 15:00:00,60738
2,002909,集泰股份,15.55,-0.50,-3.12,48066,76186144,5.48,16.29,15.41,15.89,16.05,0.00,0.75,11.44,154.73,5.64,2612400032,653100008,6.14%,-30.8%,-0.06,2017-10-26,2018-09-07 15:00:00,48066
2,000586,汇源通信,9.31,-0.30,-3.12,9704,9118927,2.91,9.55,9.27,9.41,9.61,0.22,0.82,0.50,-,7.74,1800926481,1800926481,-28.44%,-48.13%,-0.75,1995-12-20,2018-09-07 15:00:00,9704
2,000066,中国长城,6.51,-0.21,-3.12,389423,256179081,5.80,6.80,6.41,6.71,6.72,0.15,1.10,1.56,38.11,3.16,19114438468,16214570271,-8.95%,-9.08%,0.00,1997-06-26,2018-09-07 15:00:00,389423
2,002041,登海种业,7.42,-0.24,-3.13,252669,191694048,6.14,7.85,7.38,7.51,7.66,-0.13,1.07,2.89,96.49,2.34,6529600067,6484057175,-9.62%,-41.8%,0.13,2005-04-18,2018-09-07 15:00:00,252669
1,600990,四创电子,41.03,-1.33,-3.14,30909,128436302,5.41,42.85,40.56,42.13,42.36,0.07,1.31,2.26,-,3.12,6531118689,5608884534,-13.71%,-30.69%,0.02,2004-05-10,2018-09-07 15:00:00,30909
2,000938,紫光股份,41.80,-1.36,-3.15,65553,277333792,6.14,43.93,41.28,43.30,43.16,0.14,1.12,2.27,41.60,2.40,60995579894,12059801380,-34.39%,-42.16%,0.02,1999-11-04,2018-09-07 15:00:00,65553
2,300288,朗玛信息,15.28,-0.50,-3.17,63958,99368230,6.46,16.03,15.01,15.71,15.78,0.13,0.98,3.15,51.50,4.10,5163744532,3099591142,-9.26%,-36.15%,0.13,2012-02-16,2018-09-07 15:00:00,63958
2,002837,英维克,16.82,-0.55,-3.17,68004,115421884,3.74,17.25,16.60,17.00,17.37,-0.06,0.95,9.95,41.13,3.59,3616507056,1150096258,-6.45%,-17.47%,0.00,2016-12-29,2018-09-07 15:00:00,68004
2,002792,通宇通讯,28.90,-0.95,-3.18,34484,100736700,7.71,30.18,27.88,29.85,29.85,0.24,0.76,4.88,81.09,3.35,6509054434,2043643156,6.45%,-19.74%,0.00,2016-03-28,2018-09-07 15:00:00,34484
1,600850,华东电脑,19.82,-0.65,-3.18,59982,119974784,6.84,20.80,19.40,20.49,20.47,0.41,1.35,1.42,24.58,3.82,8380812407,8380812348,11.85%,-0.05%,0.41,1994-03-24,2018-09-07 15:00:00,59982
1,600487,亨通光电,23.09,-0.76,-3.19,368804,867462656,5.07,24.16,22.95,23.95,23.85,0.22,0.96,1.98,18.76,3.98,43956105920,42954913585,-29.3%,-42.76%,0.00,2003-08-22,2018-09-07 15:00:00,368804
2,000063,中兴通讯,18.09,-0.60,-3.21,1753971,3222454960,5.99,18.91,17.79,18.90,18.69,-0.11,0.83,5.11,-,3.44,75845434280,62123309762,-20.73%,-49.37%,0.00,1997-11-18,2018-09-07 15:00:00,1753971
2,002463,沪电股份,6.33,-0.21,-3.21,783042,509518096,7.49,6.74,6.25,6.58,6.54,-0.16,0.95,4.68,27.68,3.02,10882033666,10594157075,54.01%,18.98%,-0.31,2010-08-18,2018-09-07 15:00:00,783042
2,000989,九芝堂,13.84,-0.46,-3.22,71991,101363961,3.92,14.36,13.80,14.29,14.30,-0.57,0.99,1.71,18.41,2.68,12031862759,5814962204,-27.62%,-25.11%,0.14,2000-06-28,2018-09-07 15:00:00,71991
1,600171,上海贝岭,10.18,-0.34,-3.23,116378,119393948,6.37,10.67,10.00,10.52,10.52,0.00,2.10,1.73,55.03,2.99,7122025066,6859363365,-19.78%,-37.89%,0.00,1998-09-24,2018-09-07 15:00:00,116378
2,300661,圣邦股份,95.80,-3.20,-3.23,3847,37397592,6.56,100.71,94.22,99.81,99.00,-0.33,0.93,0.91,92.84,9.93,7607793424,4035281214,-16.6%,3.76%,-0.10,2017-06-06,2018-09-07 15:00:00,3847
1,600789,鲁抗医药,12.30,-0.41,-3.23,533632,664520368,6.29,12.85,12.05,12.65,12.71,0.24,1.41,9.18,33.86,2.86,8328327620,7153378417,26.02%,52.8%,0.00,1997-02-26,2018-09-07 15:00:00,533632
2,002179,中航光电,42.19,-1.41,-3.23,66534,289348592,6.17,44.83,42.14,43.60,43.60,0.02,1.09,0.85,35.85,6.33,33369795865,33012471004,6.14%,2.38%,0.00,2007-11-01,2018-09-07 15:00:00,66534
2,300386,飞天诚信,11.89,-0.40,-3.25,173618,207802633,6.10,12.35,11.60,12.02,12.29,0.76,0.68,8.09,67.88,2.97,4970543304,2552674875,-6.53%,-25.36%,0.17,2014-06-26,2018-09-07 15:00:00,173618
2,300322,硕贝德,10.11,-0.34,-3.25,134074,136828598,6.32,10.56,9.90,10.49,10.45,0.40,1.06,3.65,58.88,6.86,4112443044,3715565443,16.07%,-14.25%,-0.39,2012-06-08,2018-09-07 15:00:00,134074
2,002184,海得控制,10.09,-0.34,-3.26,89154,90508033,3.74,10.34,9.95,10.13,10.43,-0.10,0.88,6.56,-,2.34,2435772945,1370900371,-11.57%,-17.16%,0.00,2007-11-16,2018-09-07 15:00:00,89154
2,002929,润建通信,32.50,-1.10,-3.27,37056,122712749,5.86,34.15,32.18,33.60,33.60,0.22,0.98,6.71,34.93,2.84,7174256278,1793564500,-23.06%,-5.77%,-,2018-03-01,2018-09-07 15:00:00,37056
2,300134,大富科技,10.89,-0.37,-3.29,156542,173873250,6.75,11.53,10.77,11.21,11.26,-0.09,1.06,2.20,-,1.58,8358053549,7758216060,-5.96%,-26.47%,0.00,2010-10-26,2018-09-07 15:00:00,156542
2,002749,国光股份,35.30,-1.20,-3.29,6888,24743086,5.48,37.12,35.12,36.65,36.50,0.03,0.75,0.84,16.48,5.22,4554084672,2902727162,-2.7%,-45.28%,0.00,2015-03-20,2018-09-07 15:00:00,6888
2,300167,迪威迅,5.27,-0.18,-3.30,174673,92919673,5.14,5.49,5.21,5.30,5.45,0.00,1.00,5.82,-,2.28,1582264794,1582264794,-1.86%,-40.79%,-0.19,2011-01-25,2018-09-07 15:00:00,174673
2,002417,深南股份,7.90,-0.27,-3.30,33103,26642850,4.04,8.23,7.90,8.08,8.17,-0.63,1.51,1.48,-,6.57,2133000026,1761853115,-21.47%,-39.83%,0.00,2010-06-01,2018-09-07 15:00:00,33103
1,603105,芯能科技,19.03,-0.65,-3.30,223251,430166640,6.91,19.89,18.53,19.60,19.68,0.11,1.05,25.37,89.62,6.58,9515000343,1674640060,173.42%,173.42%,0.05,2018-07-09,2018-09-07 15:00:00,223251
2,300380,安硕信息,19.60,-0.67,-3.31,70658,139669127,4.93,20.26,19.26,20.00,20.27,0.05,2.08,10.01,227.84,6.62,2693824052,1382999821,7.52%,-7.89%,0.05,2014-01-28,2018-09-07 15:00:00,70658
2,300292,吴通控股,3.79,-0.13,-3.32,357310,137666295,5.36,3.95,3.74,3.89,3.92,0.26,0.81,3.47,24.97,1.80,4831683255,3902247875,-0.26%,-34.2%,-0.26,2012-02-29,2018-09-07 15:00:00,357310
1,603421,鼎信通讯,17.78,-0.61,-3.32,16819,30284538,5.87,18.59,17.51,18.22,18.39,0.00,1.35,3.69,37.45,3.66,7876460294,810700467,-4.72%,-30.49%,-0.06,2016-10-11,2018-09-07 15:00:00,16819
2,300696,爱乐达,28.27,-0.97,-3.32,37701,107641527,4.89,29.24,27.81,28.84,29.24,0.07,0.74,7.67,42.54,4.61,3313668104,1390308869,-14.98%,-60.42%,0.04,2017-08-22,2018-09-07 15:00:00,37701
2,300672,国科微,49.28,-1.70,-3.33,19547,97360937,6.98,51.57,48.01,50.52,50.98,0.22,1.11,3.47,-,6.11,5507762703,2773348577,-13.3%,-24.46%,0.00,2017-07-12,2018-09-07 15:00:00,19547
1,600619,海立股份,11.60,-0.40,-3.33,37481,44229493,3.75,12.03,11.58,11.96,12.00,-0.09,0.66,0.64,29.88,2.44,10049203928,6752836286,6.91%,0.17%,0.00,1992-11-16,2018-09-07 15:00:00,37481
2,300223,北京君正,22.36,-0.77,-3.33,104096,236143358,4.76,23.20,22.10,22.80,23.13,0.09,1.59,8.68,189.12,3.94,4486471470,2680986657,0.27%,-37.47%,-0.04,2011-05-31,2018-09-07 15:00:00,104096
1,601869,长飞光纤,47.56,-1.65,-3.35,121838,594457840,5.89,50.30,47.40,49.01,49.21,-0.08,1.05,16.08,22.29,4.57,36045967977,3604596760,23.66%,23.66%,0.00,2018-07-20,2018-09-07 15:00:00,121838
1,600810,神马股份,17.44,-0.61,-3.38,156799,280518288,5.93,18.48,17.41,18.16,18.05,-0.34,1.02,3.55,10.17,2.65,7713363436,7713363436,17.2%,140.22%,-0.06,1994-01-06,2018-09-07 15:00:00,156799
2,300634,彩讯股份,30.50,-1.07,-3.39,40485,126043021,6.15,32.15,30.21,31.85,31.57,0.00,1.01,10.12,112.11,10.72,12200305000,1220305000,-23.79%,195.54%,0.03,2018-03-23,2018-09-07 15:00:00,40485
2,000911,南宁糖业,5.97,-0.21,-3.40,51321,31072695,5.83,6.25,5.89,6.16,6.18,-0.17,1.38,1.58,-,2.14,1934763126,1934763168,-1.65%,-36.15%,-0.17,1999-05-27,2018-09-07 15:00:00,51321
2,300730,科创信息,20.87,-0.74,-3.42,69516,147917956,6.57,22.00,20.58,21.40,21.61,0.10,1.10,17.60,-,9.19,3297631225,824531993,-27.16%,-54.34%,0.00,2017-12-05,2018-09-07 15:00:00,69516
2,002279,久其软件,9.33,-0.33,-3.42,159548,151911772,6.11,9.79,9.20,9.63,9.66,0.11,1.50,2.68,39.26,3.57,6628373219,5559129831,-8.62%,-10.12%,0.00,2009-08-11,2018-09-07 15:00:00,159548
2,300259,新天科技,3.08,-0.11,-3.45,87529,27433034,4.08,3.21,3.08,3.17,3.19,-0.32,2.68,1.21,30.91,1.96,3621026421,2231085811,-15.38%,-68.18%,-0.32,2011-08-31,2018-09-07 15:00:00,87529
2,300667,必创科技,27.47,-0.99,-3.48,28019,78374469,6.32,28.88,27.08,28.38,28.46,0.04,1.13,4.08,169.07,7.76,2801939930,1885979394,-41.54%,-31.82%,0.00,2017-06-19,2018-09-07 15:00:00,28019
2,002881,美格智能,18.52,-0.67,-3.49,33132,62514032,6.62,19.48,18.21,19.02,19.19,-0.16,1.04,7.31,92.38,6.71,3358398363,839678301,-12.14%,-38.9%,0.05,2017-06-22,2018-09-07 15:00:00,33132
1,600648,外高桥,17.36,-0.63,-3.50,26870,46564935,1.45,17.44,17.18,17.35,17.99,0.12,1.23,0.29,18.82,1.99,19709661486,16227983302,-8.49%,-5.81%,-0.06,1993-05-04,2018-09-07 15:00:00,26870
2,002415,海康威视,30.20,-1.10,-3.51,423924,1302275664,6.45,31.92,29.90,31.35,31.30,0.07,1.73,0.54,33.60,9.28,278663575324,238793379421,-20.57%,-22.82%,-0.07,2010-05-28,2018-09-07 15:00:00,423924
2,002084,海鸥住工,4.68,-0.17,-3.51,49926,23564138,3.09,4.82,4.67,4.81,4.85,0.21,0.94,1.23,29.45,1.47,2369917412,1893320962,-4.88%,-28.44%,0.21,2006-11-24,2018-09-07 15:00:00,49926
2,300479,神思电子,14.57,-0.53,-3.51,68968,100906025,6.23,15.10,14.16,14.92,15.10,0.34,2.57,4.31,257.26,4.42,2403069272,2331199951,-13.01%,-30.98%,0.00,2015-06-12,2018-09-07 15:00:00,68968
2,300377,赢时胜,14.81,-0.54,-3.52,355236,541571936,7.04,15.76,14.68,15.40,15.35,0.00,1.55,6.89,72.63,4.13,10994697429,7634127030,16.61%,19.34%,-0.07,2014-01-27,2018-09-07 15:00:00,355236
2,300578,会畅通讯,16.18,-0.59,-3.52,63233,103406580,6.98,16.98,15.81,16.70,16.77,0.25,1.04,10.58,66.02,7.21,2142390604,967417751,-36.55%,-55.02%,0.06,2017-01-25,2018-09-07 15:00:00,63233
2,002446,盛路通信,6.84,-0.25,-3.53,98861,68657277,5.92,7.14,6.72,7.09,7.09,-0.44,1.16,2.34,27.39,2.00,5212834295,2888751601,-1.58%,-33.01%,-0.29,2010-07-13,2018-09-07 15:00:00,98861
2,002856,美芝股份,21.50,-0.79,-3.54,32894,72113817,6.46,22.74,21.30,22.25,22.29,0.84,0.90,10.82,68.27,3.99,2614572000,653772000,-33.29%,-53.58%,-0.14,2017-03-20,2018-09-07 15:00:00,32894
2,002885,京泉华,20.07,-0.74,-3.56,41074,83345683,4.04,20.75,19.91,20.60,20.81,0.45,0.98,9.10,37.87,3.50,2408399963,905719147,-36.75%,-47.13%,-0.15,2017-06-27,2018-09-07 15:00:00,41074
2,300132,青松股份,12.54,-0.47,-3.61,137659,176526245,6.53,13.32,12.47,13.01,13.01,0.08,0.86,3.72,16.53,5.66,4839436785,4635712548,15.68%,57.74%,0.16,2010-10-26,2018-09-07 15:00:00,137659
2,002888,惠威科技,19.45,-0.73,-3.62,37192,73889701,5.55,20.42,19.30,19.90,20.18,-0.05,1.09,10.45,74.44,5.59,2424956075,691961007,-12.35%,-28.7%,-,2017-07-21,2018-09-07 15:00:00,37192
2,300269,联建光电,7.11,-0.27,-3.66,208743,150349334,3.79,7.35,7.07,7.31,7.38,0.14,0.82,5.56,13.80,0.86,4360765084,2667060476,-29.95%,-44.71%,0.00,2011-10-12,2018-09-07 15:00:00,208743
2,300431,暴风集团,13.05,-0.50,-3.69,339062,453029680,7.60,13.88,12.85,13.50,13.55,0.15,1.04,13.53,-,4.32,4300294958,3270713078,-18.44%,-41.35%,0.15,2015-03-24,2018-09-07 15:00:00,339062
2,300570,太辰光,16.64,-0.64,-3.70,64718,110120584,6.60,17.64,16.50,17.44,17.28,-0.06,1.00,6.79,30.68,3.56,3827146612,1586397738,-7.56%,-22.28%,-0.30,2016-12-06,2018-09-07 15:00:00,64718
